PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO(GT)
1360.0,1046.0,1056.0,1692.0,1268.0,13.6,48.9,0.7578,2.6
1292.0,955.0,1174.0,1559.0,972.0,13.3,47.7,0.7255,2.0
1402.0,939.0,1140.0,1555.0,1074.0,11.9,54.0,0.7502,2.2
1376.0,948.0,1092.0,1584.0,1203.0,11.0,60.0,0.7867,2.2
1272.0,836.0,1205.0,1490.0,1110.0,11.2,59.6,0.7888,1.6
1197.0,750.0,1337.0,1393.0,949.0,11.2,59.2,0.7848,1.2
1185.0,690.0,1462.0,1333.0,733.0,11.3,56.8,0.7603,1.2
1136.0,672.0,1453.0,1333.0,730.0,10.7,60.0,0.7702,1.0
1094.0,609.0,1579.0,1276.0,620.0,10.7,59.7,0.7648,0.9
1010.0,561.0,1705.0,1235.0,501.0,10.3,60.2,0.7517,0.6
1066.0,512.0,1918.0,1182.0,422.0,11.0,56.2,0.7366,0.7
1052.0,553.0,1738.0,1221.0,472.0,10.5,58.1,0.7353,0.7
1144.0,667.0,1490.0,1339.0,730.0,10.2,59.6,0.7417,1.1
1333.0,900.0,1136.0,1517.0,1102.0,10.8,57.4,0.7408,2.0
1351.0,960.0,1079.0,1583.0,1028.0,10.5,60.6,0.7691,2.2
1233.0,827.0,1218.0,1446.0,860.0,10.8,58.4,0.7552,1.7
1179.0,762.0,1328.0,1362.0,671.0,10.5,57.9,0.7352,1.5
1236.0,774.0,1301.0,1401.0,664.0,9.5,66.8,0.7951,1.6
1286.0,869.0,1162.0,1537.0,799.0,8.3,76.4,0.8393,1.9
1371.0,1034.0,983.0,1730.0,1037.0,8.0,81.1,0.8736,2.9
1310.0,933.0,1082.0,1647.0,946.0,8.3,79.8,0.8778,2.2
1292.0,912.0,1103.0,1591.0,957.0,9.7,71.2,0.8569,2.2
1383.0,1020.0,1008.0,1719.0,1104.0,9.8,67.6,0.8185,2.9
1581.0,1319.0,799.0,2083.0,1409.0,10.3,64.2,0.8065,4.8
1776.0,1488.0,702.0,2333.0,1704.0,9.7,69.3,0.8319,6.9
1640.0,1404.0,743.0,2191.0,1654.0,9.6,67.8,0.8133,6.1
1313.0,1076.0,957.0,1707.0,1285.0,9.1,64.0,0.7419,3.9
965.0,749.0,1325.0,1333.0,821.0,8.2,63.4,0.6905,1.5
913.0,629.0,1565.0,1252.0,552.0,8.2,60.8,0.6657,1.0
1080.0,805.0,1254.0,1375.0,816.0,8.3,58.5,0.6438,1.7
1044.0,829.0,1247.0,1378.0,832.0,7.7,59.7,0.6308,1.9
988.0,718.0,1396.0,1304.0,692.0,7.1,61.8,0.6276,1.4
889.0,574.0,1680.0,1187.0,512.0,7.0,62.3,0.6261,0.8
847.0,501.0,1895.0,1155.0,394.0,6.3,65.0,0.6233,0.6
927.0,571.0,1685.0,1223.0,487.0,6.8,62.9,0.6234,0.8
1091.0,730.0,1387.0,1361.0,748.0,6.4,65.1,0.6316,1.4
1587.0,1236.0,897.0,1900.0,1400.0,7.3,63.1,0.6499,4.4
1350.0,1118.0,912.0,1712.0,1237.0,13.2,41.7,0.632,3.1
1263.0,1037.0,969.0,1598.0,1167.0,14.3,38.4,0.6243,2.7
1206.0,986.0,1035.0,1537.0,959.0,15.0,36.5,0.6195,2.1
1252.0,1016.0,1008.0,1593.0,983.0,16.1,34.5,0.6262,2.5
1287.0,1078.0,949.0,1660.0,1061.0,16.3,35.7,0.656,2.7
1353.0,1122.0,922.0,1740.0,1139.0,15.8,37.0,0.661,2.9
1309.0,1073.0,954.0,1657.0,1112.0,15.9,37.2,0.6657,2.8
1274.0,1041.0,1006.0,1610.0,994.0,16.9,34.3,0.6549,2.4
1510.0,1277.0,812.0,1910.0,1410.0,15.1,39.6,0.6766,3.9
1525.0,1246.0,821.0,1847.0,1448.0,14.4,43.4,0.7084,3.7
1843.0,1610.0,624.0,2390.0,1887.0,12.9,50.5,0.7478,6.6
1598.0,1299.0,752.0,1941.0,1627.0,12.1,53.3,0.7536,4.4
1484.0,1127.0,839.0,1723.0,1491.0,11.0,59.1,0.774,3.5
1677.0,1346.0,741.0,2062.0,1657.0,9.7,64.6,0.7771,5.4
1280.0,964.0,963.0,1544.0,1285.0,9.5,64.1,0.7597,2.7
1196.0,873.0,1071.0,1463.0,1144.0,9.1,63.9,0.7423,1.9
1184.0,782.0,1176.0,1365.0,1043.0,8.8,63.9,0.7256,1.6
1172.0,783.0,1179.0,1380.0,996.0,7.8,67.5,0.7173,1.7
978.0,625.0,1420.0,1274.0,819.0,8.3,63.6,0.6982,1.0
1100.0,646.0,1406.0,1268.0,835.0,7.2,67.5,0.6887,1.2
1112.0,770.0,1228.0,1409.0,940.0,6.3,71.9,0.6932,1.5
1336.0,1043.0,935.0,1678.0,1192.0,6.5,71.6,0.6945,2.7
1408.0,1153.0,830.0,1777.0,1411.0,9.6,59.7,0.7124,3.7
1447.0,1081.0,869.0,1667.0,1465.0,12.4,51.2,0.7335,3.2
1542.0,1184.0,808.0,1780.0,1583.0,15.6,42.2,0.7451,4.1
1451.0,1117.0,875.0,1679.0,1387.0,18.4,33.8,0.709,3.6
1328.0,1059.0,987.0,1600.0,1101.0,19.4,31.3,0.695,2.8
1207.0,924.0,1088.0,1488.0,850.0,18.0,34.8,0.7127,2.0
1240.0,947.0,1049.0,1532.0,947.0,18.4,33.6,0.7042,2.0
1306.0,987.0,1004.0,1554.0,1078.0,17.6,35.1,0.7012,2.5
1326.0,1000.0,976.0,1602.0,1084.0,16.7,37.8,0.7117,2.3
1473.0,1163.0,831.0,1779.0,1395.0,16.1,41.0,0.7451,3.2
1609.0,1286.0,758.0,1922.0,1612.0,15.8,42.4,0.7569,4.2
1611.0,1274.0,754.0,1915.0,1697.0,15.7,44.1,0.7786,4.2
1621.0,1247.0,762.0,1860.0,1886.0,15.3,46.8,0.8091,4.2
1444.0,1089.0,844.0,1748.0,1624.0,14.6,48.6,0.806,3.1
1418.0,1010.0,892.0,1603.0,1536.0,14.7,49.3,0.8193,2.6
1534.0,1013.0,889.0,1611.0,1535.0,13.9,53.6,0.8498,2.9
1484.0,1045.0,880.0,1624.0,1530.0,14.6,51.5,0.8536,2.8
1367.0,925.0,953.0,1543.0,1337.0,12.5,58.9,0.8537,2.5
1344.0,968.0,921.0,1620.0,1278.0,11.6,63.4,0.8674,2.4
1062.0,691.0,1272.0,1377.0,929.0,11.5,63.1,0.8533,1.2
1076.0,618.0,1395.0,1333.0,872.0,11.6,62.2,0.8473,1.0
1028.0,615.0,1384.0,1340.0,853.0,10.4,67.6,0.853,0.9
1155.0,722.0,1225.0,1414.0,959.0,11.6,62.7,0.853,1.4
1235.0,828.0,1055.0,1527.0,1093.0,12.4,60.0,0.8627,1.6
1332.0,923.0,952.0,1614.0,1225.0,14.5,53.1,0.8728,2.2
1445.0,1009.0,878.0,1696.0,1355.0,16.9,46.1,0.8789,2.8
1416.0,1002.0,907.0,1677.0,1262.0,19.3,38.3,0.8474,2.8
1281.0,880.0,1084.0,1525.0,980.0,21.2,31.4,0.7812,2.0
1207.0,879.0,1104.0,1490.0,872.0,21.4,30.2,0.7616,1.8
1258.0,906.0,1081.0,1511.0,900.0,21.9,29.0,0.7525,1.9
1458.0,1045.0,974.0,1646.0,1099.0,22.2,28.4,0.7516,3.0
1438.0,1051.0,943.0,1668.0,1206.0,21.3,30.8,0.7696,2.9
1478.0,1055.0,929.0,1671.0,1262.0,19.7,36.7,0.8307,2.5
1808.0,1312.0,753.0,1993.0,1698.0,18.4,41.7,0.8732,4.6
1898.0,1381.0,681.0,2103.0,1905.0,17.6,46.1,0.921,5.9
1560.0,1140.0,784.0,1818.0,1648.0,16.7,49.6,0.932,3.4
1324.0,940.0,924.0,1587.0,1423.0,16.3,51.0,0.9341,2.1
1349.0,933.0,933.0,1617.0,1349.0,14.7,55.9,0.9314,2.2
1239.0,872.0,985.0,1547.0,1250.0,14.8,54.7,0.9164,1.8
1239.0,853.0,1010.0,1543.0,1174.0,14.0,57.0,0.9094,1.8
1224.0,855.0,998.0,1566.0,1149.0,13.4,61.3,0.9361,1.8
1078.0,734.0,1128.0,1487.0,1021.0,12.6,63.5,0.923,1.1
1075.0,703.0,1156.0,1464.0,1010.0,11.9,67.4,0.9375,1.0
1157.0,830.0,1030.0,1584.0,1083.0,11.4,70.5,0.9475,1.4
1314.0,966.0,897.0,1710.0,1235.0,11.3,70.2,0.9401,2.2
