feature,label,batch_1_mean,batch_10_mean,absolute_change,percent_change
feature_1,1,99729.45063333333,52895.1521875,-46834.29844583332,-46.961352086481405
feature_1,2,11485.69691122449,17577.24023,6091.54331877551,53.0359051423558
feature_1,3,12611.533322891566,4720.662070833334,-7890.871252058232,-62.568690499634
feature_1,4,239115.41169,24661.2619665,-214454.1497235,-89.68646069602909
feature_1,5,395237.87513,143471.070265,-251766.804865,-63.7000704404126
feature_1,6,133825.12172702703,23842.185977166668,-109982.93574986036,-82.1840730129883
feature_2,1,7.1678619333333335,7.1757524733333335,0.007890540000000001,0.11008219847686986
feature_2,2,1.581537775510204,3.6061277316666662,2.024589956156462,128.01401190074827
feature_2,3,1.6931873373493975,1.8791859116666667,0.18599857431726918,10.985114890384244
feature_2,4,14.0479879,4.996254268333333,-9.051733631666668,-64.43437804830874
feature_2,5,8.936100285714286,10.291560838333334,1.3554605526190482,15.16836773627035
feature_2,6,9.858772837837837,6.380852033333333,-3.477920804504503,-35.277421051393844
feature_3,1,23.41099887777778,14.31266957,-9.098329307777778,-38.863481884210024
feature_3,2,3.0894681020408163,4.460139818333333,1.370671716292517,44.36594491417761
feature_3,3,4.133060421686747,1.3871558916666666,-2.7459045300200806,-66.43756078696393
feature_3,4,60.052179433333336,6.068946001666666,-53.98323343166667,-89.89387885846162
feature_3,5,76.95875018571428,36.21539768833333,-40.74335249738095,-52.94180635608095
feature_3,6,33.17839814864865,5.857877893333334,-27.320520255315312,-82.34430165347834
feature_17,1,14736.963135555554,9448.373580166666,-5288.589555388888,-35.88656296919968
feature_17,2,22773.162168367347,14992.738412499999,-7780.4237558673485,-34.16488100486373
feature_17,3,16494.61379879518,15722.496800666666,-772.1169981285148,-4.681025015480585
feature_17,4,13553.754626666667,5215.580406833333,-8338.174219833334,-61.51929446493143
feature_17,5,20008.15491857143,31535.00199733333,11526.8470787619,57.610744847156106
feature_17,6,4608.121713513513,3315.186599333333,-1292.9351141801799,-28.057746616991313
feature_33,1,3798.2855311111116,3382.7943128333336,-415.491218277778,-10.938914804444268
feature_33,2,3111.107135714286,3401.6195966666664,290.5124609523805,9.337912462653945
feature_33,3,6898.841295180723,5275.178307666667,-1623.662987514056,-23.5352998864938
feature_33,4,3595.3348533333333,2177.1756791666667,-1418.1591741666666,-39.44442540176341
feature_33,5,4230.514397142858,7775.415384166666,3544.900987023808,83.79361595880421
feature_33,6,1640.768485135135,2055.1098655,414.341380364865,25.252885103454403
